Year,site,Management Type,access,transect,Reserve,Biomass
2013,Kecil,Utilization Zone,Gear Restriction,3,0,26.62811948
2013,Nyamuk,Utilization Zone,Gear Restriction,1,0,17.63082659
2013,Nyamuk,Utilization Zone,Gear Restriction,2,0,24.68849408
2013,Nyamuk,Utilization Zone,Gear Restriction,3,0,16.19873914
2013,Pantai Nirwana,Utilization Zone,Gear Restriction,1,0,39.41473021
2013,Pantai Nirwana,Utilization Zone,Gear Restriction,2,0,24.71712725
2013,Pantai Nirwana,Utilization Zone,Gear Restriction,3,0,12.4333491
2013,Parang 1,Utilization Zone,Gear Restriction,1,0,10.87787944
2013,Parang 1,Utilization Zone,Gear Restriction,2,0,8.737800737
2013,Parang 1,Utilization Zone,Gear Restriction,3,0,11.38715094
2013,Parang 2,Utilization Zone,Gear Restriction,1,0,13.85856491
2013,Parang 2,Utilization Zone,Gear Restriction,2,0,23.58456017
2013,Parang 2,Utilization Zone,Gear Restriction,3,0,56.61644548
2013,Tanjung Lemu,Utilization Zone,Gear Restriction,1,0,44.77492662
2013,Tanjung Lemu,Utilization Zone,Gear Restriction,2,0,31.86654476
2013,Tanjung Lemu,Utilization Zone,Gear Restriction,3,0,16.14698282
2013,Tengah,Utilization Zone,Gear Restriction,1,0,23.58655725
2013,Tengah,Utilization Zone,Gear Restriction,2,0,31.05321432
2013,Tengah,Utilization Zone,Gear Restriction,3,0,29.57749048
